graph,shot_seed,mod,nmi,used_k,collapse,best_epoch,time,error
karate,49,0.3998332115215232,0.6772430411026017,2,False,582,5.971050024032593,
karate,42,0.3998332115215232,0.6772430411026017,2,False,198,6.009894847869873,
karate,47,0.3998332115215232,0.6772430411026018,2,False,91,6.012284994125366,
karate,43,0.3998332115215232,0.6772430411026017,2,False,76,6.063941717147827,
karate,46,0.3998332115215232,0.6772430411026018,2,False,16,6.067323923110962,
karate,45,0.3998332115215232,0.6772430411026017,2,False,656,6.070048093795776,
karate,48,0.3998332115215232,0.6772430411026018,2,False,24,6.082898855209351,
karate,44,0.3998332115215232,0.6772430411026018,2,False,318,6.104096174240112,
karate,50,0.3998332115215232,0.6772430411026018,2,False,298,4.165006160736084,
karate,51,0.3998332115215232,0.6772430411026018,2,False,259,4.180328130722046,
karate,52,0.3998332115215232,0.6772430411026017,2,False,110,4.219475030899048,
karate,54,0.3998332115215232,0.6772430411026018,2,False,343,4.228894948959351,
karate,53,0.3998332115215232,0.6772430411026018,2,False,166,4.235776901245117,
karate,56,0.3998332115215232,0.6772430411026017,2,False,135,4.227859973907471,
karate,55,0.3998332115215232,0.6772430411026017,2,False,219,4.246610879898071,
karate,57,0.3998332115215232,0.6772430411026018,2,False,16,4.292913913726807,
karate,58,0.3998332115215232,0.6772430411026018,2,False,88,3.975217819213867,
karate,59,0.3998332115215232,0.6772430411026017,2,False,50,4.040912866592407,
karate,60,0.3998332115215232,0.6772430411026017,2,False,648,4.074127912521362,
karate,61,0.3998332115215232,0.6772430411026017,2,False,82,4.028969049453735,
dolphins,46,0.40273327795577696,0.5813765863368555,2,False,65,6.082195997238159,
dolphins,42,0.40273327795577696,0.5813765863368555,2,False,10,6.114572048187256,
dolphins,44,0.40273327795577696,0.5813765863368555,2,False,1605,6.117028713226318,
dolphins,47,0.40273327795577696,0.5813765863368555,2,False,2077,6.120614767074585,
dolphins,43,0.38985799612357097,0.8164962681247925,2,False,12,6.131849050521851,
dolphins,45,0.40273327795577696,0.5813765863368555,2,False,32,6.134497165679932,
dolphins,48,0.40273327795577696,0.5813765863368555,2,False,1722,6.150865077972412,
dolphins,49,0.39294331711562036,0.5813765863368555,2,False,12,6.171293020248413,
dolphins,52,0.40273327795577696,0.5813765863368555,2,False,14,4.36664605140686,
dolphins,50,0.38985799612357097,0.8164962681247925,2,False,28,4.424738883972168,
dolphins,54,0.38985799612357097,0.8164962681247925,2,False,61,4.417410135269165,
dolphins,55,0.38985799612357097,0.8164962681247925,2,False,34,4.4238121509552,
dolphins,51,0.38985799612357097,0.8164962681247925,2,False,13,4.452654123306274,
dolphins,56,0.40273327795577696,0.5813765863368555,2,False,1751,4.427238941192627,
dolphins,53,0.38985799612357097,0.8164962681247925,2,False,22,4.460026741027832,
dolphins,57,0.38985799612357097,0.8164962681247925,2,False,4,4.471657991409302,
dolphins,59,0.38985799612357097,0.8164962681247925,2,False,14,4.306789875030518,
dolphins,58,0.38985799612357097,0.8164962681247925,2,False,9,4.341277122497559,
dolphins,61,0.40273327795577696,0.5813765863368555,2,False,758,4.3035359382629395,
dolphins,60,0.40273327795577696,0.5813765863368555,2,False,993,4.357663869857788,
polbooks_binary,43,0.4785953272898854,0.8701093745414381,2,False,13,6.859036922454834,
polbooks_binary,47,0.4785953272898854,0.8701093745414379,2,False,11,6.886183738708496,
polbooks_binary,46,0.4785953272898854,0.8242866516178996,2,False,17,6.937775135040283,
polbooks_binary,45,0.4785953272898854,0.8701093745414379,2,False,9,6.945034980773926,
polbooks_binary,49,0.4785953272898854,0.8242866516178996,2,False,17,6.952904939651489,
polbooks_binary,48,0.4785953272898854,0.8701093745414381,2,False,16,6.96455717086792,
polbooks_binary,44,0.4785953272898854,0.8701093745414379,2,False,39,6.995224237442017,
polbooks_binary,42,0.4785953272898854,0.8701093745414379,2,False,6,6.997590065002441,
polbooks_binary,51,0.4785953272898854,0.8242866516178996,2,False,21,4.917556047439575,
polbooks_binary,50,0.4785953272898854,0.8701093745414379,2,False,35,5.006085157394409,
polbooks_binary,55,0.4785953272898854,0.8701093745414379,2,False,13,4.90622878074646,
polbooks_binary,54,0.4785953272898854,0.8242866516178996,2,False,6,4.922369003295898,
polbooks_binary,52,0.4785953272898854,0.8242866516178996,2,False,10,4.950693130493164,
polbooks_binary,53,0.4785953272898854,0.8242866516178996,2,False,8,4.96755576133728,
polbooks_binary,57,0.4785953272898854,0.8701093745414379,2,False,5,5.00134801864624,
polbooks_binary,56,0.4785953272898854,0.8701093745414379,2,False,14,5.038543224334717,
polbooks_binary,58,0.4785953272898854,0.8242866516178996,2,False,20,4.601927042007446,
polbooks_binary,61,0.4785953272898854,0.8242866516178996,2,False,9,4.544536113739014,
polbooks_binary,59,0.4785953272898854,0.8242866516178996,2,False,11,4.5899338722229,
polbooks_binary,60,0.4785953272898854,0.8701093745414379,2,False,33,4.635930299758911,
SBM_n200_p0.3_q0.05,45,0.35210794026487463,1.0,2,False,9,8.877864837646484,
SBM_n200_p0.3_q0.05,43,0.35210794026487463,1.0,2,False,6,8.916402339935303,
SBM_n200_p0.3_q0.05,46,0.35210794026487463,1.0,2,False,8,8.980468988418579,
SBM_n200_p0.3_q0.05,42,0.35210794026487463,1.0,2,False,6,8.981161832809448,
SBM_n200_p0.3_q0.05,47,0.35210794026487463,1.0,2,False,7,8.996561288833618,
SBM_n200_p0.3_q0.05,44,0.35210794026487463,1.0,2,False,10,8.999950170516968,
SBM_n200_p0.3_q0.05,48,0.35210794026487463,1.0,2,False,12,9.031003952026367,
SBM_n200_p0.3_q0.05,49,0.35210794026487463,1.0,2,False,13,9.124068260192871,
SBM_n200_p0.3_q0.05,50,0.35210794026487463,1.0,2,False,17,7.360458135604858,
SBM_n200_p0.3_q0.05,53,0.35210794026487463,1.0,2,False,12,7.28049898147583,
SBM_n200_p0.3_q0.05,52,0.35210794026487463,1.0,2,False,9,7.328694105148315,
SBM_n200_p0.3_q0.05,51,0.35210794026487463,1.0,2,False,16,7.437288284301758,
SBM_n200_p0.3_q0.05,56,0.35210794026487463,1.0,2,False,9,7.36627984046936,
SBM_n200_p0.3_q0.05,55,0.35210794026487463,1.0,2,False,12,7.427962064743042,
SBM_n200_p0.3_q0.05,54,0.35210794026487463,1.0,2,False,7,7.467260837554932,
SBM_n200_p0.3_q0.05,57,0.35210794026487463,1.0,2,False,7,7.56007981300354,
SBM_n200_p0.3_q0.05,59,0.35210794026487463,1.0,2,False,13,6.99850869178772,
SBM_n200_p0.3_q0.05,58,0.35210794026487463,1.0,2,False,11,7.118925094604492,
SBM_n200_p0.3_q0.05,60,0.35210794026487463,1.0,2,False,17,7.065357685089111,
SBM_n200_p0.3_q0.05,61,0.35210794026487463,1.0,2,False,13,7.098343849182129,
SBM_n200_p0.2_q0.15,45,0.11069759435494617,0.018638802960640542,2,False,538,8.791248083114624,
SBM_n200_p0.2_q0.15,44,0.11076408707278027,0.026291065471302593,2,False,307,8.797493934631348,
SBM_n200_p0.2_q0.15,47,0.11112239545921065,0.026291065471302593,2,False,334,8.809015989303589,
SBM_n200_p0.2_q0.15,49,0.1044682701927544,0.003541844701023911,2,False,160,8.809180736541748,
SBM_n200_p0.2_q0.15,46,0.10877755645895057,0.04198167823647581,2,False,1578,8.814970254898071,
SBM_n200_p0.2_q0.15,43,0.10443235441815799,0.01421628071456843,2,False,2601,8.839850902557373,
SBM_n200_p0.2_q0.15,42,0.10677403865443333,0.014192781347009168,2,False,2425,8.86813497543335,
SBM_n200_p0.2_q0.15,48,0.10714921289447488,0.0,2,False,288,8.881657838821411,
SBM_n200_p0.2_q0.15,53,0.11112239545921065,0.026291065471302593,2,False,1722,6.697865009307861,
SBM_n200_p0.2_q0.15,50,0.11215101030103244,0.05325214377148814,2,False,1199,6.730953931808472,
SBM_n200_p0.2_q0.15,52,0.11123147749083984,0.07048702619585247,2,False,2752,6.720941066741943,
SBM_n200_p0.2_q0.15,51,0.11098908645800568,0.01640252314497015,2,False,937,6.748148202896118,
SBM_n200_p0.2_q0.15,54,0.11112239545921065,0.026291065471302593,2,False,876,6.765176057815552,
SBM_n200_p0.2_q0.15,56,0.10976426956374302,0.012240489241047361,2,False,876,6.720087051391602,
SBM_n200_p0.2_q0.15,55,0.11094055162746996,0.02355183802782232,2,False,712,6.80649995803833,
SBM_n200_p0.2_q0.15,57,0.11032144941829386,0.029195955186613266,2,False,404,6.769958734512329,
SBM_n200_p0.2_q0.15,61,0.10586352523358195,0.016311990595488456,2,False,1400,6.578699111938477,
SBM_n200_p0.2_q0.15,58,0.10989737633648741,0.10682654162214188,2,False,2312,6.620361328125,
SBM_n200_p0.2_q0.15,59,0.10381017833638129,0.0002887154108149442,2,False,138,6.61693000793457,
SBM_n200_p0.2_q0.15,60,0.11112239545921065,0.026291065471302593,2,False,957,6.62252402305603,
SBM_n500_p0.2_q0.05,44,0.3007819044590978,1.0,2,False,11,18.250118255615234,
SBM_n500_p0.2_q0.05,48,0.3007819044590978,1.0,2,False,11,18.278136014938354,
SBM_n500_p0.2_q0.05,47,0.3007819044590978,1.0,2,False,9,18.313189029693604,
SBM_n500_p0.2_q0.05,49,0.3007819044590978,1.0,2,False,12,18.331820964813232,
SBM_n500_p0.2_q0.05,42,0.3007819044590978,1.0,2,False,10,18.405566930770874,
SBM_n500_p0.2_q0.05,45,0.3007819044590978,1.0,2,False,14,18.45133113861084,
SBM_n500_p0.2_q0.05,43,0.3007819044590978,1.0,2,False,9,18.50843906402588,
SBM_n500_p0.2_q0.05,46,0.3007819044590978,1.0,2,False,10,18.524693965911865,
SBM_n500_p0.2_q0.05,51,0.3007819044590978,1.0,2,False,13,15.10890817642212,
SBM_n500_p0.2_q0.05,50,0.3007819044590978,1.0,2,False,16,15.226906776428223,
SBM_n500_p0.2_q0.05,53,0.3007819044590978,1.0,2,False,13,15.216657876968384,
SBM_n500_p0.2_q0.05,52,0.3007819044590978,1.0,2,False,15,15.326908826828003,
SBM_n500_p0.2_q0.05,57,0.3007819044590978,1.0,2,False,12,15.127097129821777,
SBM_n500_p0.2_q0.05,54,0.3007819044590978,1.0,2,False,8,15.384488821029663,
SBM_n500_p0.2_q0.05,56,0.3007819044590978,1.0,2,False,15,15.283202886581421,
SBM_n500_p0.2_q0.05,55,0.3007819044590978,1.0,2,False,16,15.407803058624268,
SBM_n500_p0.2_q0.05,58,0.3007819044590978,1.0,2,False,15,14.63077187538147,
SBM_n500_p0.2_q0.05,59,0.3007819044590978,1.0,2,False,9,14.567012310028076,
SBM_n500_p0.2_q0.05,60,0.3007819044590978,1.0,2,False,14,14.609888076782227,
SBM_n500_p0.2_q0.05,61,0.3007819044590978,1.0,2,False,11,14.621478080749512,
polblogs,44,0.42563280925942015,0.7128881712740937,2,False,2773,23.49415612220764,
polblogs,45,0.4256613407703145,0.7369545037725665,2,False,1327,23.555963039398193,
polblogs,46,0.4256752870430005,0.7286769625628147,2,False,2996,23.669209003448486,
polblogs,42,0.4256258790787424,0.7167477342212865,2,False,2730,23.680437088012695,
polblogs,49,0.42568252328279393,0.7286769625628147,2,False,613,23.83491802215576,
polblogs,48,0.42568252328279393,0.7286769625628147,2,False,938,23.842873096466064,
polblogs,47,0.425640313972122,0.7206637668415858,2,False,348,24.008454084396362,
polblogs,43,0.425640313972122,0.7206637668415858,2,False,1871,24.056766033172607,
polblogs,50,0.42568252328279393,0.7286769625628147,2,False,250,19.861709117889404,
polblogs,51,0.42568252328279393,0.7286769625628147,2,False,849,19.820386171340942,
