k,alpha,shot,seed,modularity,nmi,n_used,collapsed,best_epoch,time
3,0.0,0,42,0.0,0.0,1,True,0,2.7226200103759766
3,0.0,1,43,0.17899776990686078,0.12161284959439585,2,False,21,3.9507529735565186
3,0.0,2,44,0.10309964206068106,0.3245278531386308,3,False,1,8.90225625038147
3,0.0,3,45,0.07903712449166996,0.19154059374436383,3,False,0,6.567157983779907
3,0.0,4,46,0.0029141133037236576,0.11653709564529123,3,False,0,5.588172197341919
3,0.0,5,47,0.0,0.0,1,True,0,15.868764877319336
3,0.0,6,48,0.05087048593542102,0.09677449901333574,3,False,3,4.662568807601929
3,0.0,7,49,0.0962219598583235,0.09650123006358792,3,False,1,5.941112756729126
3,0.0,8,50,0.11487790708569932,0.32272511107306034,2,False,6,7.624154090881348
3,0.0,9,51,0.0,0.0,1,True,0,5.574963808059692
3,0.1,0,42,0.0048256217087385665,0.04687448768771847,3,False,0,6.149442672729492
3,0.1,1,43,0.1818088116789415,0.23480640330645983,2,False,979,5.397650957107544
3,0.1,2,44,0.10309964206068106,0.3245278531386308,3,False,1,9.921765089035034
3,0.1,3,45,0.07903712449166996,0.19154059374436383,3,False,0,11.410975933074951
3,0.1,4,46,0.0029141133037236576,0.11653709564529123,3,False,0,4.01074481010437
3,0.1,5,47,-0.008667378797248881,0.06875825694713034,2,False,0,6.004180908203125
3,0.1,6,48,0.05868518206180547,0.21906170752041115,3,False,2,4.830498218536377
3,0.1,7,49,0.0962219598583235,0.09650123006358792,3,False,1,8.520708084106445
3,0.1,8,50,0.20283540413410542,0.41118040094190855,2,False,12,7.281003952026367
3,0.1,9,51,0.0,0.0,1,True,0,8.005446910858154
3,1.0,0,42,0.0048256217087385665,0.04687448768771847,3,False,0,6.175421237945557
3,1.0,1,43,0.40362811791383213,0.8371694628777809,2,False,56,8.030212879180908
3,1.0,2,44,0.10309964206068106,0.3245278531386308,3,False,1,11.024187803268433
3,1.0,3,45,0.07903712449166996,0.19154059374436383,3,False,0,8.813246965408325
3,1.0,4,46,0.0029141133037236576,0.11653709564529123,3,False,0,2.2145538330078125
3,1.0,5,47,0.1728134780082832,0.0,2,False,6232,18.002465963363647
3,1.0,6,48,0.008367534341560325,0.10967421028344145,3,False,1,8.835344791412354
3,1.0,7,49,0.0962219598583235,0.09650123006358792,3,False,1,8.842628955841064
3,1.0,8,50,-0.029412867075204775,0.09244950827446212,3,False,3,5.965602159500122
3,1.0,9,51,-0.1434849421862409,0.035417970328976894,3,False,0,6.85721492767334
3,10.0,0,42,0.0048256217087385665,0.04687448768771847,3,False,0,6.704342842102051
3,10.0,1,43,0.02202919735387271,0.020321084571873146,3,False,0,17.96934723854065
3,10.0,2,44,0.06794287963119133,0.2207629309325718,3,False,1,4.944476842880249
3,10.0,3,45,0.07903712449166996,0.19154059374436383,3,False,0,5.506690979003906
3,10.0,4,46,0.0029141133037236576,0.11653709564529123,3,False,0,2.1034810543060303
3,10.0,5,47,-0.12616892487022352,0.02258218247182853,2,False,2803,12.252243757247925
3,10.0,6,48,-0.11627405783249938,0.009166635693822032,3,False,0,5.813054084777832
3,10.0,7,49,0.13160360562957968,0.0863175340188525,3,False,1,2.5740299224853516
3,10.0,8,50,0.011515901126290747,0.09126666439691918,3,False,3,11.433313131332397
3,10.0,9,51,-0.1434849421862409,0.035417970328976894,3,False,0,5.032329082489014
4,0.0,0,42,0.12575663874365176,0.1465258106737384,4,False,0,3.7659618854522705
4,0.0,1,43,0.011722044189576668,8.415899064137797e-16,2,True,6,4.805333137512207
4,0.0,2,44,0.06070913213770356,0.026627657747142836,4,False,1,7.134663105010986
4,0.0,3,45,0.005500271734037977,0.08283457628570956,4,False,0,3.676825761795044
4,0.0,4,46,0.08912876445343977,0.06333261812243755,2,False,12,17.354182958602905
4,0.0,5,47,0.0,0.0,1,True,0,5.97881293296814
4,0.0,6,48,0.021794943872866006,0.14623928544505507,4,False,1,5.6733479499816895
4,0.0,7,49,0.06016566406176797,0.07015985858176804,4,False,1,4.14335823059082
4,0.0,8,50,0.0,0.0,1,True,0,5.269966125488281
4,0.0,9,51,0.0,0.0,1,True,0,6.8333420753479
4,0.1,0,42,0.12575663874365176,0.1465258106737384,4,False,0,3.5979020595550537
4,0.1,1,43,0.011722044189576668,8.415899064137797e-16,2,True,6,3.6971189975738525
4,0.1,2,44,0.06070913213770356,0.026627657747142836,4,False,1,8.305062055587769
4,0.1,3,45,0.005500271734037977,0.08283457628570956,4,False,0,10.641560077667236
4,0.1,4,46,0.04783456082157379,0.08342176351338318,4,False,1,11.708380937576294
4,0.1,5,47,-0.04809692472030133,0.06828095810486878,4,False,2,9.31288194656372
4,0.1,6,48,-0.021260845936170607,0.04095830783593167,4,False,0,5.226717233657837
4,0.1,7,49,0.06016566406176797,0.07015985858176804,4,False,1,7.850210905075073
4,0.1,8,50,-0.020108318809617512,0.040261266429164,4,False,0,6.563668966293335
4,0.1,9,51,-0.005181686999868805,0.08899557014469307,3,True,2,6.983293771743774
4,1.0,0,42,0.12575663874365176,0.1465258106737384,4,False,0,6.568179130554199
4,1.0,1,43,-0.056117763909971696,0.023023025541968067,2,False,0,8.065788984298706
4,1.0,2,44,-0.006577837746668914,0.07445659242414708,4,False,0,4.5392467975616455
4,1.0,3,45,0.005500271734037977,0.08283457628570956,4,False,0,6.527857065200806
4,1.0,4,46,0.04783456082157379,0.08342176351338318,4,False,1,7.60464882850647
4,1.0,5,47,-0.11310695076928844,0.06707025014767573,4,False,1,5.861647844314575
4,1.0,6,48,-0.021260845936170607,0.04095830783593167,4,False,0,9.522172927856445
4,1.0,7,49,0.06016566406176797,0.07015985858176804,4,False,1,5.773489952087402
4,1.0,8,50,-0.020108318809617512,0.040261266429164,4,False,0,8.380248069763184
4,1.0,9,51,-0.0679803601881524,0.058635244826007286,4,False,0,6.108320951461792
4,10.0,0,42,0.12575663874365176,0.1465258106737384,4,False,0,5.483021020889282
4,10.0,1,43,0.21270216075410886,0.092293580835938,2,False,9241,18.157846927642822
4,10.0,2,44,-0.006577837746668914,0.07445659242414708,4,False,0,15.433367013931274
4,10.0,3,45,-0.09694346057982423,0.004214456035155068,4,False,2,18.160643815994263
4,10.0,4,46,0.04783456082157379,0.08342176351338318,4,False,1,17.261455297470093
4,10.0,5,47,-0.05042071925188809,0.08263276183270778,4,False,1,7.045500755310059
4,10.0,6,48,-0.021260845936170607,0.04095830783593167,4,False,0,4.0973498821258545
4,10.0,7,49,-0.06174921759337345,0.15052561351689464,4,False,0,5.4359130859375
4,10.0,8,50,-0.020108318809617512,0.040261266429164,4,False,0,5.465591907501221
4,10.0,9,51,-0.0679803601881524,0.058635244826007286,4,False,0,6.847190856933594
5,0.0,0,42,0.0,0.0,1,True,0,7.863897085189819
5,0.0,1,43,0.0,0.0,1,True,0,5.525388240814209
5,0.0,2,44,0.3744588744588745,0.6772430411026017,2,False,1183,19.097322940826416
5,0.0,3,45,0.0,0.0,1,True,0,2.1911380290985107
5,0.0,4,46,0.0,0.0,1,True,0,4.973178863525391
5,0.0,5,47,0.40362811791383213,0.8371694628777809,2,False,4334,18.11901092529297
5,0.0,6,48,0.013614812316110999,0.24153375771024455,5,False,3,3.899976968765259
5,0.0,7,49,0.023884484923445956,0.09159845532961029,4,False,1,7.1716320514678955
5,0.0,8,50,0.26602762317048034,0.4005756601312451,2,False,6,16.67504906654358
5,0.0,9,51,-0.008161391278274421,0.033011474418956195,4,True,6,9.663851976394653
5,0.1,0,42,-0.0066434287213507906,0.0,4,False,2,7.6580140590667725
5,0.1,1,43,-0.012977642847772732,0.10908432892524564,4,False,1,7.460194110870361
5,0.1,2,44,-0.02088604036655985,0.02774003394052705,4,False,0,4.106267929077148
5,0.1,3,45,-0.024615355784186957,0.05792109557694996,5,False,0,14.50042986869812
5,0.1,4,46,-0.038642454226869835,0.11740260316987576,5,False,0,5.724056720733643
5,0.1,5,47,0.037489927100316726,0.22687781469678123,5,False,2,7.6577370166778564
5,0.1,6,48,0.013614812316110999,0.24153375771024455,5,False,3,8.05292797088623
5,0.1,7,49,0.028429002454976485,0.1419366404998099,5,False,0,12.180527925491333
5,0.1,8,50,0.26602762317048034,0.4005756601312451,2,False,6,9.246993780136108
5,0.1,9,51,-0.018515395138771762,0.1617060531240945,5,False,0,7.871473073959351
5,1.0,0,42,-0.12026573714885405,0.007576512230527058,4,False,0,13.482244968414307
5,1.0,1,43,-0.05197616236577275,0.023196448075782305,3,False,2,8.13354206085205
5,1.0,2,44,-0.07670395982084292,0.15570721151638353,5,False,2,17.98793601989746
5,1.0,3,45,-0.024615355784186957,0.05792109557694996,5,False,0,9.87829875946045
5,1.0,4,46,-0.038642454226869835,0.11740260316987576,5,False,0,9.232609987258911
5,1.0,5,47,-0.05145143456831768,0.05406205740048291,5,False,0,24.314274072647095
5,1.0,6,48,-0.015648132531249415,0.10147432009734027,5,False,0,13.458920955657959
5,1.0,7,49,0.028429002454976485,0.1419366404998099,5,False,0,5.408721923828125
5,1.0,8,50,0.26602762317048034,0.4005756601312451,2,False,6,12.794913053512573
5,1.0,9,51,-0.018515395138771762,0.1617060531240945,5,False,0,7.547347068786621
5,10.0,0,42,-0.12026573714885405,0.007576512230527058,4,False,0,14.251231908798218
5,10.0,1,43,-0.05197616236577275,0.023196448075782305,3,False,2,6.1914849281311035
5,10.0,2,44,-0.10408350668090927,0.12357196925462981,5,False,3,8.973497152328491
5,10.0,3,45,-0.024615355784186957,0.05792109557694996,5,False,0,6.306562900543213
5,10.0,4,46,-0.038642454226869835,0.11740260316987576,5,False,0,7.718307971954346
5,10.0,5,47,-0.07162534435261708,0.11520293432812816,5,False,2,8.288967847824097
5,10.0,6,48,-0.015648132531249415,0.10147432009734027,5,False,0,6.164034128189087
5,10.0,7,49,0.028429002454976485,0.1419366404998099,5,False,0,11.969166994094849
5,10.0,8,50,0.01863720694889523,0.1229812821469175,4,False,1,2.9318900108337402
5,10.0,9,51,-0.018515395138771762,0.1617060531240945,5,False,0,7.090719938278198
6,0.0,0,42,0.0,0.0,1,True,0,8.701740741729736
6,0.0,1,43,0.0,0.0,1,True,0,6.719310760498047
6,0.0,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,7.081517934799194
6,0.0,3,45,0.012340473379434329,0.0984538168372742,3,False,3,10.663152933120728
6,0.0,4,46,0.3476602762317048,0.7323776321005694,2,False,4916,16.808418035507202
6,0.0,5,47,0.030902719214407535,0.09577868930484182,6,False,0,12.247978925704956
6,0.0,6,48,0.0787091696182605,0.1319832725392984,2,True,9,5.359703063964844
6,0.0,7,49,0.04066640430276798,0.08841241724654092,2,True,586,4.756243944168091
6,0.0,8,50,0.06281741346676413,0.06813830393549664,3,True,4,3.8421812057495117
6,0.0,9,51,0.01092558235415379,0.2281608043474225,6,False,0,5.542653322219849
6,0.1,0,42,-0.03143681715110285,0.10687198938173606,6,False,2,7.173192977905273
6,0.1,1,43,-0.0018365472910926808,0.05045146296538818,2,True,3,9.068997859954834
6,0.1,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,13.319416046142578
6,0.1,3,45,-0.032570603999175406,0.23776875813383866,6,False,0,10.335869789123535
6,0.1,4,46,0.14336313037611736,0.12161284959439585,2,False,14,11.153693914413452
6,0.1,5,47,0.030902719214407535,0.09577868930484182,6,False,0,9.340219974517822
6,0.1,6,48,0.06915162759318602,0.1902505098032345,4,False,4,6.719711780548096
6,0.1,7,49,0.0,0.0,1,True,0,24.36940908432007
6,0.1,8,50,0.04921197128989337,0.16429720441358264,6,False,0,10.763912916183472
6,0.1,9,51,0.11456869249077047,0.11978481344745683,2,False,5165,22.503319025039673
6,1.0,0,42,-0.03143681715110285,0.10687198938173606,6,False,2,9.026715755462646
6,1.0,1,43,-0.05298813740372181,0.09379596726403143,5,False,0,4.494006872177124
6,1.0,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,10.38158369064331
6,1.0,3,45,-0.032570603999175406,0.23776875813383866,6,False,0,9.01492190361023
6,1.0,4,46,-0.0746800097449448,0.1198205436879158,6,False,1,6.948215007781982
6,1.0,5,47,0.030902719214407535,0.09577868930484182,6,False,0,9.643153190612793
6,1.0,6,48,-0.10565769007327448,0.20775603416120245,6,False,0,5.134419202804565
6,1.0,7,49,-0.08850096512434176,0.04998911782692478,6,False,0,5.857489109039307
6,1.0,8,50,0.04921197128989337,0.16429720441358264,6,False,0,9.636677265167236
6,1.0,9,51,0.01092558235415379,0.2281608043474225,6,False,0,22.728079080581665
6,10.0,0,42,-0.03143681715110285,0.10687198938173606,6,False,2,6.982760190963745
6,10.0,1,43,-0.05298813740372181,0.09379596726403143,5,False,0,7.697848081588745
6,10.0,2,44,0.0014242611645209225,0.20182264398405203,5,False,1,9.23057770729065
6,10.0,3,45,-0.032570603999175406,0.23776875813383866,6,False,0,4.377914905548096
6,10.0,4,46,-0.0746800097449448,0.1198205436879158,6,False,1,9.958664894104004
6,10.0,5,47,0.030902719214407535,0.09577868930484182,6,False,0,8.322445154190063
6,10.0,6,48,-0.10565769007327448,0.20775603416120245,6,False,0,4.223714113235474
6,10.0,7,49,-0.08850096512434176,0.04998911782692478,6,False,0,19.157532930374146
6,10.0,8,50,0.04921197128989337,0.16429720441358264,6,False,0,10.870653867721558
6,10.0,9,51,0.01092558235415379,0.2281608043474225,6,False,0,7.845407009124756
